                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.90245,                0.66789,                 1.1301,                 0.8769,                0.80587,                0.86636,                0.54977,                 1.3441,                0.89026,                 1.4793,             0.00010236,             0.00010236,             0.00010236
                     72,                0.88459,                0.64343,                 1.1199,                0.87277,                0.79951,                0.85423,                0.53797,                 1.3542,                0.90511,                  1.495,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     73,                0.89006,                0.64524,                 1.1259,                0.86747,                 0.8017,                0.86445,                0.54409,                 1.3657,                0.88071,                 1.4895,             9.5963e-05,             9.5963e-05,             9.5963e-05
                     74,                0.90217,                0.66009,                 1.1394,                0.83146,                0.82639,                0.86079,                0.54236,                 1.3509,                 0.8764,                 1.4878,             9.2766e-05,             9.2766e-05,             9.2766e-05
                     75,                0.89537,                 0.6518,                 1.1287,                0.83557,                0.82205,                0.86551,                0.54468,                 1.3426,                0.87389,                 1.4783,             8.9568e-05,             8.9568e-05,             8.9568e-05
                     76,                0.89624,                0.63619,                 1.1271,                 0.8661,                0.81355,                0.87174,                0.55183,                 1.3463,                0.88655,                  1.491,              8.637e-05,              8.637e-05,              8.637e-05
                     77,                0.87682,                0.63931,                 1.1201,                0.86357,                0.79873,                0.86269,                0.54313,                 1.3585,                0.88167,                 1.4989,             8.3173e-05,             8.3173e-05,             8.3173e-05
                     78,                0.88195,                0.64334,                 1.1222,                0.85101,                0.81062,                0.85641,                0.54253,                 1.3528,                0.88519,                 1.4906,             7.9975e-05,             7.9975e-05,             7.9975e-05
                     79,                0.86378,                 0.6232,                 1.1137,                0.84109,                0.81992,                0.85796,                0.53778,                 1.3691,                0.89029,                 1.5072,             7.6777e-05,             7.6777e-05,             7.6777e-05
                     80,                0.89461,                0.64215,                 1.1287,                0.86277,                0.80094,                  0.867,                0.54379,                 1.3491,                0.88564,                 1.4832,             7.3579e-05,             7.3579e-05,             7.3579e-05
                     81,                0.86571,                0.62592,                 1.1152,                0.82856,                0.82287,                0.85469,                0.54052,                 1.3546,                0.88245,                 1.4926,             7.0382e-05,             7.0382e-05,             7.0382e-05
                     82,                0.86075,                0.62552,                 1.1198,                 0.8464,                0.81295,                0.85783,                0.54452,                 1.3557,                0.89375,                 1.4997,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     83,                0.86144,                0.62455,                 1.1139,                0.86759,                0.80804,                0.85958,                0.53831,                 1.3556,                0.86978,                 1.4962,             6.3986e-05,             6.3986e-05,             6.3986e-05
                     84,                 0.8489,                0.61478,                 1.1051,                0.83874,                0.83124,                0.86553,                0.54579,                 1.3545,                0.87678,                 1.4947,             6.0789e-05,             6.0789e-05,             6.0789e-05
                     85,                0.86868,                 0.6296,                 1.1221,                0.83806,                0.82497,                0.86134,                0.53869,                 1.3559,                0.87275,                 1.5023,             5.7591e-05,             5.7591e-05,             5.7591e-05
                     86,                 0.8569,                0.62246,                 1.1092,                0.84637,                0.82978,                0.86454,                0.54434,                  1.349,                0.85688,                 1.4935,             5.4393e-05,             5.4393e-05,             5.4393e-05
